11294.94,11294.94,11253.23,11279.65,11279.65
11210.97,11324.8,11176.07,11253.24,11253.24
11149.76,11258.28,11097.23,11209.77,11209.77
11076.02,11190.96,11030.23,11151.34,11151.34
11067.61,11157.82,11019.75,11076.02,11076.02
10972.92,11125.41,10948.43,11076.34,11076.34
11005.66,11093.39,10923.86,10972.28,10972.28
10977.08,11065.61,10885.99,11005.74,11005.74
10957.31,11032.31,10885.35,10980.69,10980.69
11022.47,11084.66,10899.76,10958.59,10958.59
11024.23,11125.01,10942.99,11021.59,11021.59
11052.57,11090.91,10951.71,11025.51,11025.51
10993.25,11115.8,10960.6,11053.53,11053.53
11096.75,11115.24,10947.07,10993.41,10993.41
11062.81,11180.48,11038.72,11097.55,11097.55
11068.33,11085.38,11010.46,11061.85,11061.85
11133.52,11167.83,11017.27,11069.22,11069.22
11086.98,11159.02,11064.25,11137.17,11137.17
11115.48,11182.68,11011.18,11069.06,11069.06
11119.56,11178.8,11035.44,11115.32,11115.32
11059.05,11154.14,10997.66,11120.68,11120.68
11025.67,11115.56,10940.18,11058.97,11058.97
10890.72,11071.54,10873.62,11028.39,11028.39
10915.21,10982.93,10824.6,10892.32,10892.32
10883.51,10972.76,10787.62,10919.05,10919.05
10859.42,11003.5,10800.91,10883.35,10883.35
10742.16,10897.44,10712.3,10858.62,10858.62
10796.42,10874.79,10691.97,10749.76,10749.76
10793.3,10868.62,10725.91,10798.27,10798.27
10849.57,10905.28,10725.35,10793.62,10793.62
10950.11,10987.73,10800.35,10851.98,10851.98
10862.14,11001.82,10815.39,10953.95,10953.95
10900.4,10970.28,10807.55,10864.86,10864.86
10913.13,10930.34,10887.67,10899.92,10899.92
10815.32,10988.29,10766.01,10907.21,10907.21
10768.17,10827.96,10709.73,10809.47,10809.47
10713.26,10832.93,10615.2,10709.74,10709.74
10690.21,10804.75,10624.49,10712.22,10712.22
10668.75,10783.7,10607.36,10688.77,10688.77
10880.71,10890.08,10637.21,10667.39,10667.39
